"tam_yol","goreli_yol","dosya_adi","boyut_byte","boyut_okunabilir","son_degisim","uzanti","kategori","gerekli_mi"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\strategies\__pycache__\pso_strategy.cpython-313.pyc","optimizer_api\strategies\__pycache__\pso_strategy.cpython-313.pyc","pso_strategy.cpython-313.pyc","17503","17,09 KB","2026-03-19T04:26:39",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\strategies\__pycache__\pso_strategy.cpython-314.pyc","optimizer_api\strategies\__pycache__\pso_strategy.cpython-314.pyc","pso_strategy.cpython-314.pyc","21172","20,68 KB","2026-03-19T04:22:57",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\strategies\__pycache__\__init__.cpython-313.pyc","optimizer_api\strategies\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","2564","2,50 KB","2026-03-19T04:26:38",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\strategies\__pycache__\__init__.cpython-314.pyc","optimizer_api\strategies\__pycache__\__init__.cpython-314.pyc","__init__.cpython-314.pyc","3299","3,22 KB","2026-03-19T03:03:01",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\tests\test_resource_profiler.py","optimizer_api\tests\test_resource_profiler.py","test_resource_profiler.py","17186","16,78 KB","2026-03-28T08:53:07",".py","tek_kullanimli_script","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\base.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\base.cpython-313.pyc","base.cpython-313.pyc","1693","1,65 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\clarke_wright.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\clarke_wright.cpython-313.pyc","clarke_wright.cpython-313.pyc","5587","5,46 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\fuzzy_cmeans.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\fuzzy_cmeans.cpython-313.pyc","fuzzy_cmeans.cpython-313.pyc","7532","7,36 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\kmeans.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\kmeans.cpython-313.pyc","kmeans.cpython-313.pyc","6657","6,50 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\k_medoids.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\k_medoids.cpython-313.pyc","k_medoids.cpython-313.pyc","6721","6,56 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\sweep.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\sweep.cpython-313.pyc","sweep.cpython-313.pyc","5538","5,41 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\clustering_strategies\__pycache__\__init__.cpython-313.pyc","optimizer_api\utils\clustering_strategies\__pycache__\__init__.cpython-313.pyc","__init__.cpython-313.pyc","1205","1,18 KB","2026-03-19T04:28:10",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\__pycache__\clustering.cpython-313.pyc","optimizer_api\utils\__pycache__\clustering.cpython-313.pyc","clustering.cpython-313.pyc","15282","14,92 KB","2026-03-19T04:28:00",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\__pycache__\clustering.cpython-314.pyc","optimizer_api\utils\__pycache__\clustering.cpython-314.pyc","clustering.cpython-314.pyc","17995","17,57 KB","2026-03-19T04:27:30",".pyc","python_cache","False"
"C:\Users\yekta\Masaüstü\AiCode\FirebaseUniRide\UniRide\optimizer_api\utils\__pycache__\data_loader.cpython-313.pyc","optimizer_api\utils\__pycache__\data_loader.cpython-313.pyc","data_loader.cpython-313.pyc","7748","7,57 KB","2026-03-19T04:26:38",".pyc","python_cache","False"
